episode,global_step,episode_reward,episode_length,epsilon,avg_loss,crashed,train_density
192,4150,20.726636551036098,23,0.60575,nan,1,0.6
193,4180,21.601857833175533,30,0.6029,nan,0,0.6
194,4191,8.555962873103939,11,0.601855,nan,1,0.6
195,4207,14.357130408461828,16,0.6003350000000001,nan,1,0.6
196,4237,23.433242589622566,30,0.597485,nan,0,0.6
197,4246,5.885080603124592,9,0.59663,nan,1,0.6
198,4276,22.20186288108839,30,0.59378,nan,0,0.6
199,4294,13.80406697370991,18,0.5920700000000001,nan,1,0.6
200,4324,21.41198942074292,30,0.5892200000000001,nan,0,0.6
201,4354,22.54755211364453,30,0.5863700000000001,nan,0,0.6
202,4363,7.155622472049558,9,0.585515,nan,1,0.6
203,4393,24.460635177960974,30,0.582665,nan,0,0.6
204,4413,15.28752729425704,20,0.580765,nan,1,0.6
205,4422,8.273486319971203,9,0.57991,nan,1,0.6
206,4442,16.604282178123523,20,0.57801,nan,1,0.6
207,4472,22.27879535390539,30,0.5751600000000001,nan,0,0.6
208,4477,4.072167473458656,5,0.5746850000000001,nan,1,0.6
209,4488,9.754067826080892,11,0.57364,nan,1,0.6
210,4498,7.19677108338139,10,0.57269,nan,1,0.6
211,4512,9.96872085218026,14,0.5713600000000001,nan,1,0.6
212,4542,21.57329762556639,30,0.5685100000000001,nan,0,0.6
213,4572,21.11733819242384,30,0.56566,nan,0,0.6
214,4580,5.600436028462465,8,0.5649,nan,1,0.6
215,4591,8.957995762078292,11,0.563855,nan,1,0.6
216,4610,15.525177961218603,19,0.5620499999999999,nan,1,0.6
217,4640,26.880674169274673,30,0.5591999999999999,nan,0,0.6
218,4670,21.919440417607117,30,0.55635,nan,0,0.6
219,4682,9.598227551383621,12,0.55521,nan,1,0.6
220,4689,5.281837164901738,7,0.5545450000000001,nan,1,0.6
221,4694,4.195799432352943,5,0.5540700000000001,nan,1,0.6
222,4717,18.57157694903081,23,0.551885,nan,1,0.6
223,4740,16.584723449072193,23,0.5497000000000001,nan,1,0.6
224,4749,6.680820044875718,9,0.548845,nan,1,0.6
225,4779,29.735563232453757,30,0.545995,nan,0,0.6
226,4809,23.54275986636132,30,0.543145,nan,0,0.6
227,4839,22.111184093747404,30,0.540295,nan,0,0.6
228,4850,9.952126433588893,11,0.53925,nan,1,0.6
229,4862,10.957161889249791,12,0.53811,nan,1,0.6
230,4888,22.72806866872264,26,0.53564,nan,1,0.6
231,4902,10.613502735821381,14,0.5343100000000001,nan,1,0.6
232,4914,9.153671648385496,12,0.53317,nan,1,0.6
233,4944,21.450569802578563,30,0.53032,nan,0,0.6
234,4974,23.011756444209038,30,0.52747,nan,0,0.6
235,5004,23.311712112362105,30,0.5246200000000001,0.331634059548378,0,0.6
236,5027,19.25143632803217,23,0.522435,0.06326855459938878,1,0.6
237,5049,18.533246432095787,22,0.5203450000000001,0.03432756340639158,1,0.6
238,5079,27.15303069393235,30,0.517495,0.030990409851074218,0,0.6
239,5083,2.9573710298187494,4,0.517115,0.024128942750394344,1,0.6
240,5095,10.761140989294608,12,0.5159750000000001,0.028513919639711578,1,0.6
241,5105,8.561290745073263,10,0.5150250000000001,0.02133399425074458,1,0.6
242,5135,28.35957658222191,30,0.512175,0.029066050642480454,0,0.6
243,5143,6.407990123180434,8,0.5114150000000001,0.028323145816102624,1,0.6
244,5149,4.316327668779471,6,0.510845,0.02736784890294075,1,0.6
245,5176,23.857716386517446,27,0.5082800000000001,0.0315636325351618,1,0.6
246,5182,4.955334021795722,6,0.5077100000000001,0.02949011481056611,1,0.6
247,5195,11.19363277335012,13,0.506475,0.028276189875144225,1,0.6
248,5199,2.983369274669937,4,0.506095,0.031991722993552685,1,0.6
249,5207,6.95531634221785,8,0.505335,0.02912400069180876,1,0.6
250,5230,18.810776063354297,23,0.50315,0.02521702388058538,1,0.6
251,5254,21.955079146500257,24,0.50087,0.029274562063316505,1,0.6
252,5271,15.105396935355682,17,0.499255,0.028058081618784106,1,0.6
253,5298,22.968057099097386,27,0.49668999999999996,0.027945717581099382,1,0.6
254,5317,16.728443480153736,19,0.494885,0.03154262292541956,1,0.6
255,5336,17.758298377396777,19,0.4930800000000001,0.025615592315596968,1,0.6
256,5344,6.589851159116363,8,0.4923200000000001,0.030294590862467885,1,0.6
257,5365,19.360571846954695,21,0.490325,0.028445240908435414,1,0.6
258,5369,2.7591154181621453,4,0.48994499999999996,0.02151948492974043,1,0.6
259,5388,17.194350990517126,19,0.48814000000000013,0.02804031697297959,1,0.6
260,5413,23.794354791011944,25,0.485765,0.03469666566699743,1,0.6
261,5423,8.953459397457852,10,0.484815,0.0228641502559185,1,0.6
262,5431,6.959012388268193,8,0.484055,0.025443437043577433,1,0.6
263,5450,17.159168914900384,19,0.48224999999999996,0.03122238265840631,1,0.6
264,5479,27.358759009314223,29,0.479495,0.02755504445140732,1,0.6
265,5504,21.566009039744838,25,0.47712,0.031108199302107096,1,0.6
266,5525,18.756450772343033,21,0.475125,0.028203676144282024,1,0.6
267,5530,3.9590471683324666,5,0.47465,0.030981817469000816,1,0.6
268,5560,29.552547990150767,30,0.4718,0.026750676209727924,0,0.6
269,5590,27.95943672573774,30,0.46895,0.03173756574591001,1,0.6
270,5616,23.357872880463912,26,0.46648,0.028587752039759204,1,0.6
271,5629,11.723829187253212,13,0.465245,0.019591605899712213,1,0.6
272,5638,7.023292876329952,9,0.4643900000000001,0.02463199312074317,1,0.6
273,5661,20.83406145064196,23,0.462205,0.030042299595863922,1,0.6
274,5678,15.75829908799295,17,0.46059000000000005,0.022106354754856405,1,0.6
275,5684,4.756112615352729,6,0.46002,0.028238824219442904,1,0.6
276,5689,3.9572014196905787,5,0.4595450000000001,0.030957525596022606,1,0.6
277,5705,14.79409398497251,16,0.458025,0.022578511096071452,1,0.6
278,5716,9.765955951097201,11,0.45698000000000005,0.03196065398779782,1,0.6
279,5725,7.955575005760356,9,0.456125,0.026246072103579838,1,0.6
280,5755,24.504938397387388,30,0.453275,0.029331217085321746,0,0.6
281,5772,15.20614740753722,17,0.45165999999999995,0.0211556082153145,1,0.6
282,5798,23.01188940476481,26,0.4491900000000001,0.027301239028859597,1,0.6
283,5814,14.947650845717753,16,0.44767,0.032848968578036875,1,0.6
284,5828,12.754619452261089,14,0.44634000000000007,0.029017664891268526,1,0.6
285,5849,18.799228362742326,21,0.4443450000000001,0.026939448723126026,1,0.6
286,5872,20.714378994693185,23,0.44216,0.031414153054356575,1,0.6
287,5877,3.9572014196905787,5,0.441685,0.03438555989414453,1,0.6
288,5888,8.282111826574988,11,0.44064000000000003,0.02635213622654026,1,0.6
289,5899,9.398148058498892,11,0.43959500000000007,0.02804164368320595,1,0.6
290,5929,26.10070079230483,30,0.43674500000000005,0.02839841681222121,0,0.6
291,5959,29.353889332388135,30,0.43389500000000003,0.029369855734209218,0,0.6
292,5989,26.3779362598067,30,0.431045,0.02875492381863296,0,0.6
293,6019,27.658830145006462,30,0.428195,0.09446861570080121,0,0.6
294,6040,16.981942184465403,21,0.4262,0.07527835880007062,1,0.8
295,6049,7.9590122436400925,9,0.4253450000000001,0.07251311466097832,1,0.8
296,6067,15.853899674276885,18,0.423635,0.07343736146059301,1,0.8
297,6085,15.805636078747415,18,0.421925,0.05841510949863328,1,0.8
298,6090,3.760353123448624,5,0.42145,0.0748599611222744,1,0.8
299,6106,14.952137342518922,16,0.41993,0.06270992755889893,1,0.8
300,6118,10.953724555357072,12,0.41879,0.06234052202974757,1,0.8
301,6125,6.275353290194078,7,0.41812499999999997,0.06670441052743367,1,0.8
302,6137,9.963044870614642,12,0.41698500000000005,0.0687452827890714,1,0.8
303,6145,6.98764060494117,8,0.41622499999999996,0.05807914992328733,1,0.8
304,6148,1.9602091714909529,3,0.41594,0.07743336632847786,1,0.8
305,6156,6.7579194812585905,8,0.41518,0.07516965502873063,1,0.8
306,6166,6.568056263604105,10,0.41423,0.051046737283468244,1,0.8
307,6171,3.760353123448624,5,0.4137550000000001,0.060102535784244536,1,0.8
308,6185,12.959012213835136,14,0.41242499999999993,0.06266067429844822,1,0.8
309,6191,4.9875940280636595,6,0.4118550000000001,0.05670752159009377,1,0.8
310,6199,6.9571666396087695,8,0.411095,0.06843638606369495,1,0.8
311,6207,6.9571666396087695,8,0.410335,0.05341709731146693,1,0.8
312,6237,27.556058045768637,30,0.407485,0.06238532479231556,1,0.8
313,6251,12.91927307079875,14,0.40615500000000004,0.06035816988774708,1,0.8
314,6261,8.992985777731542,10,0.40520500000000004,0.05678866524249315,1,0.8
315,6282,19.94553685547935,21,0.40321000000000007,0.06279707025913965,1,0.8
316,6290,6.95531669766902,8,0.40245,0.06801158329471946,1,0.8
317,6305,13.756481474156852,15,0.4010250000000001,0.06362086981534958,1,0.8
318,6314,8.118110732403792,9,0.40017,0.0804943558242586,1,0.8
319,6317,1.9602091714909529,3,0.39988500000000005,0.06064924908181032,1,0.8
320,6327,8.955574801114459,10,0.39893500000000004,0.05971061885356903,1,0.8
321,6333,4.367166051770688,6,0.3983650000000001,0.0738565983871619,1,0.8
322,6345,10.752651769135714,12,0.39722500000000005,0.07280639745295048,1,0.8
323,6364,17.551693109586694,19,0.3954200000000001,0.06510723274397223,1,0.8
324,6375,8.523108209882157,11,0.39437500000000003,0.06260442733764648,1,0.8
325,6382,5.9571636464636555,7,0.39371,0.07135757803916931,1,0.8
326,6386,2.2488844296919193,4,0.39333000000000007,0.0734725808724761,1,0.8
327,6394,7.1957948044309745,8,0.3925700000000001,0.07668438879773021,1,0.8
328,6405,8.961810015800221,11,0.3915250000000001,0.06146173179149628,1,0.8
329,6412,5.756476052925084,7,0.39086,0.057752503348248344,1,0.8
330,6418,4.758483817545757,6,0.39029,0.06113027005145947,1,0.8
331,6432,12.95134654078931,14,0.3889600000000001,0.05650946404784918,1,0.8
332,6446,12.354354535235217,14,0.38763000000000003,0.07592631291065897,1,0.8
333,6453,5.758472655685588,7,0.386965,0.05333646120769637,1,0.8
334,6458,3.7593386857253073,5,0.38649,0.057532671838998795,1,0.8
335,6488,25.843365572167976,30,0.38364,0.06418018924693267,0,0.8
336,6491,2.0772972363439632,3,0.383355,0.06975224862496059,1,0.8
337,6507,12.967744072457684,16,0.38183500000000004,0.07346023852005601,1,0.8
338,6511,3.003209984641235,4,0.381455,0.07382870838046074,1,0.8
339,6528,15.561289893647801,17,0.37983999999999996,0.0562748001778827,1,0.8
340,6558,26.963867792865667,30,0.37698999999999994,0.06069327263782422,0,0.8
341,6588,26.560182263318765,30,0.37414000000000003,0.06262618557860454,1,0.8
342,6600,10.557354032447952,12,0.373,0.058452170652647815,1,0.8
343,6606,4.599228065564505,6,0.37243000000000004,0.059948486275970936,1,0.8
344,6610,3.0522756612359205,4,0.37205,0.060529954731464386,1,0.8
345,6626,13.796668963421626,16,0.37053,0.06914297887124121,1,0.8
346,6639,11.953446532526883,13,0.36929500000000004,0.06601532720602475,1,0.8
347,6654,13.201506303077641,15,0.36787000000000003,0.06858479330937067,1,0.8
348,6684,28.152966345290746,30,0.36502,0.05008523209641377,0,0.8
349,6695,9.95529951688364,11,0.36397500000000005,0.06297206048938361,1,0.8
350,6706,9.760318169817465,11,0.3629300000000001,0.07925051857124675,1,0.8
351,6718,10.756719733148657,12,0.36179000000000006,0.07683422074963649,1,0.8
352,6732,12.20505195895135,14,0.36046,0.07531055675021239,1,0.8
353,6738,4.9555822299708,6,0.35989000000000004,0.060564273968338966,1,0.8
354,6748,8.76031817404101,10,0.35894000000000004,0.0656684109941125,1,0.8
355,6778,25.09173916594563,30,0.35609,0.06346534478167692,0,0.8
356,6808,26.290669960977848,30,0.3532400000000001,0.058225513560076554,0,0.8
357,6819,9.959012214701307,11,0.35219500000000004,0.0551881551403891,1,0.8
358,6840,17.499095800284874,21,0.35019999999999996,0.06456418707966805,1,0.8
359,6865,23.915554053942664,25,0.34782500000000005,0.06816891089081764,1,0.8
360,6877,9.9570687013304,12,0.346685,0.06936679190645616,1,0.8
361,6882,3.987589900245461,5,0.34621,0.058411478996276855,1,0.8
362,6893,9.36137340151808,11,0.34516500000000006,0.0583332438360561,1,0.8
363,6904,9.758472421158041,11,0.34412,0.06726708855818618,1,0.8
364,6907,1.7953289908768333,3,0.343835,0.054434808592001595,1,0.8
365,6918,9.656385952402848,11,0.34279000000000004,0.06577473709529097,1,0.8
366,6928,8.764105651792473,10,0.34184000000000003,0.06676210425794124,1,0.8
367,6938,8.95557478406283,10,0.34089,0.0721973542124033,1,0.8
368,6942,3.275379417844259,4,0.34051,0.07338811084628105,1,0.8
369,6952,8.407983502688463,10,0.33956,0.05169701986014843,1,0.8
370,6965,11.719332574606677,13,0.338325,0.055662940901059374,1,0.8
371,6992,24.362661747801482,27,0.33575999999999995,0.0641963626085608,1,0.8
372,6996,2.7591154181621453,4,0.33538,0.0694272480905056,1,0.8
373,7001,3.9572014196905787,5,0.3349050000000001,0.16291255205869676,1,0.8
374,7013,10.567121295200401,12,0.333765,0.2192806818832954,1,0.8
375,7016,1.9602091714909529,3,0.33348,0.17937444150447845,1,0.8
376,7024,6.760149598236084,8,0.33272,0.16955279652029276,1,0.8
377,7043,16.8016822548781,19,0.33091499999999996,0.09385624704392333,1,0.8
378,7073,25.902210885129954,30,0.32806499999999994,0.11065042441089948,0,0.8
379,7077,2.6544373641097776,4,0.327685,0.12040438503026962,1,0.8
380,7100,19.79891274490188,23,0.3255,0.09916121010547099,1,0.8
381,7116,14.359178735881299,16,0.32398000000000005,0.09987387177534401,1,0.8
382,7121,3.9590471683324666,5,0.32350500000000004,0.09174612909555435,1,0.8
383,7138,13.598730489242293,17,0.32189,0.10290677363381666,1,0.8
384,7151,11.758298833181271,13,0.320655,0.09310321395213787,1,0.8
385,7160,7.365163626097704,9,0.3198000000000001,0.10152019270592266,1,0.8
386,7167,5.95716303443921,7,0.31913500000000006,0.09183703948344503,1,0.8
387,7183,12.575768842513252,16,0.317615,0.09620581567287445,1,0.8
388,7196,11.362421474231986,13,0.31638,0.10920845717191696,1,0.8
389,7201,3.9571975996624404,5,0.3159050000000001,0.08365700654685497,1,0.8
390,7204,1.9602091714909529,3,0.31562,0.16485393544038138,1,0.8
391,7230,23.76001539512466,26,0.31315000000000004,0.1044026196289521,1,0.8
392,7253,18.652047317002665,23,0.31096500000000005,0.10638895760411801,1,0.8
393,7258,3.7923212284615007,5,0.31049000000000004,0.07036117985844612,1,0.8
394,7268,8.957162018745377,10,0.30954000000000004,0.09540112726390362,1,0.8
395,7273,3.756289207298002,5,0.30906500000000003,0.10453485697507858,1,0.8
396,7281,7.115995587645891,8,0.30830500000000005,0.12058664578944445,1,0.8
397,7285,2.9592167598122607,4,0.307925,0.09253185614943504,1,0.8
398,7312,23.57690573933763,27,0.3053600000000001,0.10635122353280033,1,0.8
399,7323,9.56726190621336,11,0.3043150000000001,0.10548841072754427,1,0.8
400,7334,9.24990293294568,11,0.30326999999999993,0.11996397545391863,1,0.8
401,7344,8.952126437831437,10,0.30232000000000003,0.10596893355250359,1,0.8
402,7349,3.9590471683324666,5,0.30184500000000003,0.120311638712883,1,0.8
